date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:58	351/351	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Apr%202023%2002:58:57%20GMT	https://sifattechpoint.wordpress.com/robots.txt		(from )
09:00:02	161887/161887	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2003:00:04%20GMT	https://sifattechpoint.wordpress.com/	C:/My%20Web%20Sites/mmm/sifattechpoint.wordpress.com/index.html	(from )
09:00:06	12405/12405	---MCZ	200	added ('OK')	application/javascript	etag:W/%226390e6a9-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/mmm/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://sifattechpoint.wordpress.com/)
09:00:07	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%2261adb0ba-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/My%20Web%20Sites/mmm/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://sifattechpoint.wordpress.com/)
09:00:07	47751/47751	---MCZ	200	added ('OK')	text/css	etag:W/%22630e826d-ba87%22	https://s0.wp.com/_static/??/wp-content/themes/pub/dara/style.css,/wp-content/themes/pub/dara/blocks.css?m=1661895270j&cssminify=yes	C:/My%20Web%20Sites/mmm/s0.wp.com/_static/index2b7a.html	(from https://sifattechpoint.wordpress.com/)
09:00:07	10785/10785	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22798c02a5c9d4b49b922b0f66e84884d2%22	https://sifattechpoint.wordpress.com/comments/feed/	C:/My%20Web%20Sites/mmm/sifattechpoint.wordpress.com/comments/feed/index.html	(from https://sifattechpoint.wordpress.com/)
09:00:07	73907/73907	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2025%20Mar%202023%2002:27:32%20GMT	https://sifattechpoint.wordpress.com/feed/	C:/My%20Web%20Sites/mmm/sifattechpoint.wordpress.com/feed/index.html	(from https://sifattechpoint.wordpress.com/)
09:00:08	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%2261adb0ae-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	C:/My%20Web%20Sites/mmm/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://sifattechpoint.wordpress.com/)
09:00:08	15537/15537	---MCZ	200	added ('OK')	text/css	etag:W/%2263242ce7-45a9%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes	C:/My%20Web%20Sites/mmm/s0.wp.com/wp-content/mu-plugins/highlander-comments/style68a8.css	(from https://sifattechpoint.wordpress.com/)
09:00:09	895/895	---MCZ	200	added ('OK')	text/xml	date:Tue,%2025%20Apr%202023%2003:00:10%20GMT	https://sifattechpoint.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/mmm/sifattechpoint.wordpress.com/xmlrpc0db0.php	(from https://sifattechpoint.wordpress.com/)
